Country;Date;Year;NDVI
France;mars-15;2019;0.602
France;mars-16;2019;0.6
France;mars-17;2019;0.601
France;mars-18;2019;0.601
France;mars-19;2019;0.602
France;mars-20;2019;0.602
France;mars-21;2019;0.601
France;mars-22;2019;0.602
France;mars-23;2019;0.602
France;mars-24;2019;0.602
France;mars-25;2019;0.602
France;mars-26;2019;0.602
France;mars-27;2019;0.602
France;mars-28;2019;0.602
France;mars-29;2019;0.602
France;mars-30;2019;0.603
France;mars-31;2019;0.605
France;Apr 1;2019;0.605
France;Apr 2;2019;0.607
France;Apr 3;2019;0.607
France;Apr 4;2019;0.615
France;Apr 5;2019;0.623
France;Apr 6;2019;0.625
France;Apr 7;2019;0.633
France;Apr 8;2019;0.636
France;Apr 9;2019;0.646
France;Apr 10;2019;0.646
France;Apr 11;2019;0.645
France;Apr 12;2019;0.644
France;Apr 13;2019;0.646
France;Apr 14;2019;0.647
France;Apr 15;2019;0.647
France;Apr 16;2019;0.646
France;Apr 17;2019;0.621
France;Apr 18;2019;0.662
France;Apr 19;2019;0.664
France;Apr 20;2019;0.668
France;Apr 21;2019;0.663
France;Apr 22;2019;0.663
France;Apr 23;2019;0.681
France;Apr 24;2019;0.695
France;Apr 25;2019;0.694
France;Apr 26;2019;0.694
France;Apr 27;2019;0.694
France;Apr 28;2019;0.695
France;Apr 29;2019;0.697
France;Apr 30;2019;0.696
France;May 1;2019;0.697
France;May 2;2019;0.695
France;May 3;2019;0.696
France;May 4;2019;0.698
France;May 5;2019;0.704
France;May 6;2019;0.708
France;May 7;2019;0.706
France;May 8;2019;0.705
France;May 9;2019;0.705
France;May 10;2019;0.705
France;May 11;2019;0.705
France;May 12;2019;0.705
France;May 13;2019;0.705
France;May 14;2019;0.705
France;May 15;2019;0.707
France;May 16;2019;0.707
France;May 17;2019;0.707
France;May 18;2019;0.707
France;May 19;2019;0.708
France;May 20;2019;0.707
France;May 21;2019;0.707
France;May 22;2019;0.708
France;May 23;2019;0.712
France;May 24;2019;0.714
France;May 25;2019;0.718
France;May 26;2019;0.719
France;May 27;2019;0.718
France;May 28;2019;0.717
France;May 29;2019;0.716
France;May 30;2019;0.716
France;May 31;2019;0.716
France;juin-01;2019;0.717
France;juin-02;2019;0.717
France;juin-03;2019;0.716
France;juin-04;2019;0.716
France;juin-05;2019;0.717
France;juin-06;2019;0.715
France;juin-07;2019;0.716
France;juin-08;2019;0.716
France;juin-09;2019;0.716
France;juin-10;2019;0.708
France;juin-11;2019;0.712
France;juin-12;2019;0.712
France;juin-13;2019;0.712
France;juin-14;2019;0.712
France;juin-15;2019;0.71
France;juin-16;2019;0.71
France;juin-17;2019;0.708
France;juin-18;2019;0.705
France;juin-19;2019;0.697
France;juin-20;2019;0.693
France;juin-21;2019;0.686
France;juin-22;2019;0.682
France;juin-23;2019;0.679
France;juin-24;2019;0.677
France;juin-25;2019;0.676
France;juin-26;2019;0.668
France;juin-27;2019;0.667
France;juin-28;2019;0.662
France;juin-29;2019;0.66
France;juin-30;2019;0.658
France;juil-01;2019;0.654
France;juil-02;2019;0.652
France;juil-03;2019;0.649
France;juil-04;2019;0.648
France;juil-05;2019;0.644
France;juil-06;2019;0.643
France;juil-07;2019;0.639
France;juil-08;2019;0.636
France;juil-09;2019;0.633
France;juil-10;2019;0.631
France;juil-11;2019;0.63
France;juil-12;2019;0.625
France;juil-13;2019;0.624
France;juil-14;2019;0.619
France;juil-15;2019;0.617
France;juil-16;2019;0.608
France;juil-17;2019;0.6
France;juil-18;2019;0.596
France;juil-19;2019;0.591
France;juil-20;2019;0.591
France;juil-21;2019;0.59
France;juil-22;2019;0.59
France;juil-23;2019;0.588
France;juil-24;2019;0.586
France;juil-25;2019;0.583
France;juil-26;2019;0.583
France;juil-27;2019;0.583
France;juil-28;2019;0.582
France;juil-29;2019;0.582
France;juil-30;2019;0.581
France;juil-31;2019;0.582
France;Aug 1;2019;0.582
France;Aug 2;2019;0.587
France;Aug 3;2019;0.592
France;Aug 4;2019;0.595
France;Aug 5;2019;0.595
France;Aug 6;2019;0.596
France;Aug 7;2019;0.602
France;Aug 8;2019;0.602
France;Aug 9;2019;0.604
France;Aug 10;2019;0.607
France;Aug 11;2019;0.615
France;Aug 12;2019;0.616
France;Aug 13;2019;0.629
France;Aug 14;2019;0.628
France;Aug 15;2019;0.619
France;Aug 16;2019;0.615
France;Aug 17;2019;0.617
France;Aug 18;2019;0.616
France;Aug 19;2019;0.617
France;Aug 20;2019;0.617
France;Aug 21;2019;0.617
France;Aug 22;2019;0.617
France;Aug 23;2019;0.617
France;Aug 24;2019;0.616
France;Aug 25;2019;0.617
France;Aug 26;2019;0.617
France;Aug 27;2019;0.615
France;Aug 28;2019;0.615
France;Aug 29;2019;0.615
France;Aug 30;2019;0.615
France;Aug 31;2019;0.612
France;sept-01;2019;0.612
France;sept-02;2019;0.61
France;sept-03;2019;0.608
France;sept-04;2019;0.607
France;sept-05;2019;0.604
France;sept-06;2019;0.605
France;sept-07;2019;0.6
France;sept-08;2019;0.598
France;sept-09;2019;0.591
France;sept-10;2019;0.589
France;sept-11;2019;0.586
France;sept-12;2019;0.58
France;sept-13;2019;0.58
France;sept-14;2019;0.577
France;sept-15;2019;0.577
France;sept-16;2019;0.576
France;sept-17;2019;0.576
France;sept-18;2019;0.576
France;sept-19;2019;0.575
France;sept-20;2019;0.575
France;sept-21;2019;0.572
France;sept-22;2019;0.572
France;sept-23;2019;0.572
France;sept-24;2019;0.572
France;sept-25;2019;0.575
France;sept-26;2019;0.578
France;sept-27;2019;0.579
France;sept-28;2019;0.582
France;sept-29;2019;0.592
France;sept-30;2019;0.632
France;oct-01;2019;0.634
France;oct-02;2019;0.639
France;oct-03;2019;0.64
France;oct-04;2019;0.638
France;oct-05;2019;0.638
France;oct-06;2019;0.635
France;oct-07;2019;0.635
France;oct-08;2019;0.635
France;oct-09;2019;0.637
France;oct-10;2019;0.637
France;oct-11;2019;0.637
France;oct-12;2019;0.638
France;oct-13;2019;0.638
France;oct-14;2019;0.64
France;oct-15;2019;0.641
France;oct-16;2019;0.642
France;oct-17;2019;0.643
France;oct-18;2019;0.642
France;oct-19;2019;0.641
France;oct-20;2019;0.643
France;oct-21;2019;0.645
France;oct-22;2019;0.649
France;oct-23;2019;0.652
France;oct-24;2019;0.652
France;oct-25;2019;0.65
France;oct-26;2019;0.651
France;oct-27;2019;0.655
France;oct-28;2019;0.655
France;oct-29;2019;0.655
France;oct-30;2019;0.655
France;oct-31;2019;0.654
France;nov-01;2019;0.653
France;nov-02;2019;0.652
France;nov-03;2019;0.652
France;nov-04;2019;0.637
France;nov-05;2019;0.639
France;nov-06;2019;0.639
France;nov-07;2019;0.639
France;nov-08;2019;0.634
France;nov-09;2019;0.632
France;nov-10;2019;0.631
France;nov-11;2019;0.63
France;nov-12;2019;0.626
France;nov-13;2019;0.63
France;nov-14;2019;0.613
France;nov-15;2019;0.603
France;nov-16;2019;0.602
France;nov-17;2019;0.599
France;nov-18;2019;0.599
France;nov-19;2019;0.598
France;nov-20;2019;0.595
France;nov-21;2019;0.595
France;nov-22;2019;0.596
France;nov-23;2019;0.599
France;nov-24;2019;0.604
France;nov-25;2019;0.607
France;nov-26;2019;0.61
France;nov-27;2019;0.61
France;nov-28;2019;0.606
France;nov-29;2019;0.603
France;nov-30;2019;0.602
France;Dec 1;2019;0.601
France;Dec 2;2019;0.601
France;Dec 3;2019;0.599
France;Dec 4;2019;0.599
France;Dec 5;2019;0.6
France;Dec 6;2019;0.599
France;Dec 7;2019;0.6
France;Dec 8;2019;0.598
France;Dec 9;2019;0.597
France;Dec 10;2019;0.595
France;Dec 11;2019;0.592
France;Dec 12;2019;0.584
France;Dec 13;2019;0.586
France;Dec 14;2019;0.579
France;Dec 15;2019;0.582
France;Dec 16;2019;0.583
France;Dec 17;2019;0.585
France;Dec 18;2019;0.588
France;Dec 19;2019;0.587
France;Dec 20;2019;0.588
France;Dec 21;2019;0.588
France;Dec 22;2019;0.587
France;Dec 23;2019;0.588
France;Dec 24;2019;0.588
France;Dec 25;2019;0.588
France;Dec 26;2019;0.588
France;Dec 27;2019;0.59
France;Dec 28;2019;0.588
France;Dec 29;2019;0.586
France;Dec 30;2019;0.588
France;Dec 31;2019;0.587
France;janv-01;2020;0.587
France;janv-02;2020;0.586
France;janv-03;2020;0.587
France;janv-04;2020;0.586
France;janv-05;2020;0.586
France;janv-06;2020;0.587
France;janv-07;2020;0.586
France;janv-08;2020;0.585
France;janv-09;2020;0.586
France;janv-10;2020;0.588
France;janv-11;2020;0.587
France;janv-12;2020;0.587
France;janv-13;2020;0.589
France;janv-14;2020;0.587
France;janv-15;2020;0.587
France;janv-16;2020;0.584
France;janv-17;2020;0.583
France;janv-18;2020;0.581
France;janv-19;2020;0.58
France;janv-20;2020;0.58
France;janv-21;2020;0.578
France;janv-22;2020;0.577
France;janv-23;2020;0.577
France;janv-24;2020;0.576
France;janv-25;2020;0.574
France;janv-26;2020;0.574
France;janv-27;2020;0.568
France;janv-28;2020;0.57
France;janv-29;2020;0.571
France;janv-30;2020;0.574
France;janv-31;2020;0.574
France;Feb 1;2020;0.575
France;Feb 2;2020;0.577
France;Feb 3;2020;0.579
France;Feb 4;2020;0.579
France;Feb 5;2020;0.578
France;Feb 6;2020;0.578
France;Feb 7;2020;0.578
France;Feb 8;2020;0.578
France;Feb 9;2020;0.578
France;Feb 10;2020;0.579
France;Feb 11;2020;0.579
France;Feb 12;2020;0.584
France;Feb 13;2020;0.583
France;Feb 14;2020;0.582
France;Feb 15;2020;0.578
France;Feb 16;2020;0.585
France;Feb 17;2020;0.584
France;Feb 18;2020;0.585
France;Feb 19;2020;0.586
France;Feb 20;2020;0.587
France;Feb 21;2020;0.587
France;Feb 22;2020;0.59
France;Feb 23;2020;0.592
France;Feb 24;2020;0.596
France;Feb 25;2020;0.597
France;Feb 26;2020;0.593
France;Feb 27;2020;0.591
France;Feb 28;2020;0.591
France;Feb 29;2020;0.592
France;mars-01;2020;0.597
France;mars-02;2020;0.602
France;mars-03;2020;0.604
France;mars-04;2020;0.593
France;mars-05;2020;0.594
France;mars-06;2020;0.607
France;mars-07;2020;0.608
France;mars-08;2020;0.609
France;mars-09;2020;0.607
France;mars-10;2020;0.606
France;mars-11;2020;0.605
France;mars-12;2020;0.604
France;mars-13;2020;0.603
France;mars-14;2020;0.603
France;mars-15;2020;0.602
France;mars-16;2020;0.602
France;mars-17;2020;0.604
France;mars-18;2020;0.603
France;mars-19;2020;0.604
France;mars-20;2020;0.603
France;mars-21;2020;0.603
France;mars-22;2020;0.604
France;mars-23;2020;0.604
France;mars-24;2020;0.605
France;mars-25;2020;0.605
France;mars-26;2020;0.605
France;mars-27;2020;0.604
France;mars-28;2020;0.606
France;mars-29;2020;0.605
France;mars-30;2020;0.605
France;mars-31;2020;0.604
France;Apr 1;2020;0.604
France;Apr 2;2020;0.605
France;Apr 3;2020;0.605
France;Apr 4;2020;0.608
France;Apr 5;2020;0.609
France;Apr 6;2020;0.61
France;Apr 7;2020;0.614
France;Apr 8;2020;0.615
France;Apr 9;2020;0.617
France;Apr 10;2020;0.618
France;Apr 11;2020;0.621
France;Apr 12;2020;0.622
France;Apr 13;2020;0.627
France;Apr 14;2020;0.632
France;Apr 15;2020;0.636
France;Apr 16;2020;0.641
France;Apr 17;2020;0.642
France;Apr 18;2020;0.651
France;Apr 19;2020;0.654
France;Apr 20;2020;0.661
France;Apr 21;2020;0.662
France;Apr 22;2020;0.665
France;Apr 23;2020;0.675
France;Apr 24;2020;0.68
France;Apr 25;2020;0.687
France;Apr 26;2020;0.687
France;Apr 27;2020;0.7
France;Apr 28;2020;0.7
France;Apr 29;2020;0.705
France;Apr 30;2020;0.704
France;May 1;2020;0.706
France;May 2;2020;0.711
France;May 3;2020;0.712
France;May 4;2020;0.714
France;May 5;2020;0.715
France;May 6;2020;0.717
France;May 7;2020;0.716
France;May 8;2020;0.716
France;May 9;2020;0.714
France;May 10;2020;0.715
France;May 11;2020;0.712
France;May 12;2020;0.712
France;May 13;2020;0.711
France;May 14;2020;0.708
France;May 15;2020;0.708
France;May 16;2020;0.709
France;May 17;2020;0.71
France;May 18;2020;0.708
France;May 19;2020;0.707
France;May 20;2020;0.704
France;May 21;2020;0.702
France;May 22;2020;0.7
France;May 23;2020;0.698
France;May 24;2020;0.697
France;May 25;2020;0.694
France;May 26;2020;0.693
France;May 27;2020;0.691
France;May 28;2020;0.69
France;May 29;2020;0.689
France;May 30;2020;0.689
France;May 31;2020;0.689
France;juin-01;2020;0.689
France;juin-02;2020;0.689
France;juin-03;2020;0.688
France;juin-04;2020;0.688
France;juin-05;2020;0.688
France;juin-06;2020;0.689
France;juin-07;2020;0.687
France;juin-08;2020;0.687
France;juin-09;2020;0.686
France;juin-10;2020;0.686
France;juin-11;2020;0.686
France;juin-12;2020;0.684
France;juin-13;2020;0.685
France;juin-14;2020;0.692
France;juin-15;2020;0.688
France;juin-16;2020;0.687
France;juin-17;2020;0.682
France;juin-18;2020;0.682
France;juin-19;2020;0.68
France;juin-20;2020;0.68
France;juin-21;2020;0.68
France;juin-22;2020;0.68
France;juin-23;2020;0.679
France;juin-24;2020;0.679
France;juin-25;2020;0.679
France;juin-26;2020;0.678
France;juin-27;2020;0.678
France;juin-28;2020;0.677
France;juin-29;2020;0.678
France;juin-30;2020;0.674
France;juil-01;2020;0.673
France;juil-02;2020;0.666
France;juil-03;2020;0.665
France;juil-04;2020;0.661
France;juil-05;2020;0.653
France;juil-06;2020;0.65
France;juil-07;2020;0.649
France;juil-08;2020;0.648
France;juil-09;2020;0.647
France;juil-10;2020;0.646
France;juil-11;2020;0.645
France;juil-12;2020;0.641
France;juil-13;2020;0.639
France;juil-14;2020;0.634
France;juil-15;2020;0.633
France;juil-16;2020;0.627
France;juil-17;2020;0.626
France;juil-18;2020;0.623
France;juil-19;2020;0.622
France;juil-20;2020;0.62
France;juil-21;2020;0.616
France;juil-22;2020;0.615
France;juil-23;2020;0.609
France;juil-24;2020;0.609
France;juil-25;2020;0.607
France;juil-26;2020;0.606
France;juil-27;2020;0.604
France;juil-28;2020;0.599
France;juil-29;2020;0.597
France;juil-30;2020;0.59
France;juil-31;2020;0.589
France;Aug 1;2020;0.584
France;Aug 2;2020;0.583
France;Aug 3;2020;0.581
France;Aug 4;2020;0.577
France;Aug 5;2020;0.575
France;Aug 6;2020;0.573
France;Aug 7;2020;0.573
France;Aug 8;2020;0.569
France;Aug 9;2020;0.568
France;Aug 10;2020;0.567
France;Aug 11;2020;0.568
France;Aug 12;2020;0.568
France;Aug 13;2020;0.567
France;Aug 14;2020;0.566
France;Aug 15;2020;0.565
France;Aug 16;2020;0.566
France;Aug 17;2020;0.568
France;Aug 18;2020;0.573
France;Aug 19;2020;0.575
France;Aug 20;2020;0.585
France;Aug 21;2020;0.593
France;Aug 22;2020;0.597
France;Aug 23;2020;0.597
France;Aug 24;2020;0.603
France;Aug 25;2020;0.606
France;Aug 26;2020;0.605
France;Aug 27;2020;0.602
France;Aug 28;2020;0.599
France;Aug 29;2020;0.6
France;Aug 30;2020;0.601
France;Aug 31;2020;0.598
France;sept-01;2020;0.599
France;sept-02;2020;0.597
France;sept-03;2020;0.596
France;sept-04;2020;0.596
France;sept-05;2020;0.593
France;sept-06;2020;0.592
France;sept-07;2020;0.589
France;sept-08;2020;0.589
France;sept-09;2020;0.586
France;sept-10;2020;0.585
France;sept-11;2020;0.582
France;sept-12;2020;0.582
France;sept-13;2020;0.58
France;sept-14;2020;0.579
France;sept-15;2020;0.579
France;sept-16;2020;0.578
France;sept-17;2020;0.578
France;sept-18;2020;0.577
France;sept-19;2020;0.577
France;sept-20;2020;0.576
France;sept-21;2020;0.576
France;sept-22;2020;0.575
France;sept-23;2020;0.577
France;sept-24;2020;0.578
France;sept-25;2020;0.584
France;sept-26;2020;0.59
France;sept-27;2020;0.594
France;sept-28;2020;0.595
France;sept-29;2020;0.595
France;sept-30;2020;0.608
France;oct-01;2020;0.635
France;oct-02;2020;0.637
France;oct-03;2020;0.638
France;oct-04;2020;0.639
France;oct-05;2020;0.639
France;oct-06;2020;0.638
France;oct-07;2020;0.643
France;oct-08;2020;0.645
France;oct-09;2020;0.641
France;oct-10;2020;0.644
France;oct-11;2020;0.646
France;oct-12;2020;0.646
France;oct-13;2020;0.646
France;oct-14;2020;0.643
France;oct-15;2020;0.641
France;oct-16;2020;0.64
France;oct-17;2020;0.638
France;oct-18;2020;0.638
France;oct-19;2020;0.637
France;oct-20;2020;0.638
France;oct-21;2020;0.638
France;oct-22;2020;0.638
France;oct-23;2020;0.639
France;oct-24;2020;0.632
France;oct-25;2020;0.631
France;oct-26;2020;0.63
France;oct-27;2020;0.631
France;oct-28;2020;0.633
France;oct-29;2020;0.628
France;oct-30;2020;0.628
France;oct-31;2020;0.627
France;nov-01;2020;0.627
France;nov-02;2020;0.626
France;nov-03;2020;0.627
France;nov-04;2020;0.626
France;nov-05;2020;0.625
France;nov-06;2020;0.625
France;nov-07;2020;0.624
France;nov-08;2020;0.623
France;nov-09;2020;0.623
France;nov-10;2020;0.621
France;nov-11;2020;0.621
France;nov-12;2020;0.622
France;nov-13;2020;0.621
France;nov-14;2020;0.62
France;nov-15;2020;0.619
France;nov-16;2020;0.621
France;nov-17;2020;0.619
France;nov-18;2020;0.62
France;nov-19;2020;0.619
France;nov-20;2020;0.62
France;nov-21;2020;0.618
France;nov-22;2020;0.619
France;nov-23;2020;0.619
France;nov-24;2020;0.619
France;nov-25;2020;0.619
France;nov-26;2020;0.619
France;nov-27;2020;0.619
France;nov-28;2020;0.618
France;nov-29;2020;0.618
France;nov-30;2020;0.617
France;Dec 1;2020;0.614
France;Dec 2;2020;0.612
France;Dec 3;2020;0.608
France;Dec 4;2020;0.607
France;Dec 5;2020;0.603
France;Dec 6;2020;0.6
France;Dec 7;2020;0.605
France;Dec 8;2020;0.6
France;Dec 9;2020;0.594
France;Dec 10;2020;0.597
France;Dec 11;2020;0.602
France;Dec 12;2020;0.605
France;Dec 13;2020;0.604
France;Dec 14;2020;0.606
France;Dec 15;2020;0.609
France;Dec 16;2020;0.611
France;Dec 17;2020;0.609
France;Dec 18;2020;0.611
France;Dec 19;2020;0.615
France;Dec 20;2020;0.616
France;Dec 21;2020;0.617
France;Dec 22;2020;0.618
France;Dec 23;2020;0.619
France;Dec 24;2020;0.621
France;Dec 25;2020;0.624
France;Dec 26;2020;0.623
France;Dec 27;2020;0.623
France;Dec 28;2020;0.62
France;Dec 29;2020;0.622
France;Dec 30;2020;0.619
France;Dec 31;2020;0.607
France;janv-01;2021;0.593
France;janv-02;2021;0.59
France;janv-03;2021;0.582
France;janv-04;2021;0.574
France;janv-05;2021;0.572
France;janv-06;2021;0.57
France;janv-07;2021;0.567
France;janv-08;2021;0.564
France;janv-09;2021;0.562
France;janv-10;2021;0.555
France;janv-11;2021;0.55
France;janv-12;2021;0.55
France;janv-13;2021;0.546
France;janv-14;2021;0.54
France;janv-15;2021;0.547
France;janv-16;2021;0.549
France;janv-17;2021;0.552
France;janv-18;2021;0.551
France;janv-19;2021;0.547
France;janv-20;2021;0.551
France;janv-21;2021;0.548
France;janv-22;2021;0.551
France;janv-23;2021;0.553
France;janv-24;2021;0.568
France;janv-25;2021;0.568
France;janv-26;2021;0.568
France;janv-27;2021;0.573
France;janv-28;2021;0.569
France;janv-29;2021;0.568
France;janv-30;2021;0.569
France;janv-31;2021;0.569
France;Feb 1;2021;0.57
France;Feb 2;2021;0.575
France;Feb 3;2021;0.556
France;Feb 4;2021;0.502
France;Feb 5;2021;0.483
France;Feb 6;2021;0.466
France;Feb 7;2021;0.477
France;Feb 8;2021;0.473
France;Feb 9;2021;0.47
France;Feb 10;2021;0.489
France;Feb 11;2021;0.489
France;Feb 12;2021;0.485
France;Feb 13;2021;0.483
France;Feb 14;2021;0.487
France;Feb 15;2021;0.491
France;Feb 16;2021;0.506
France;Feb 17;2021;0.531
France;Feb 18;2021;0.556
France;Feb 19;2021;0.555
France;Feb 20;2021;0.557
France;Feb 21;2021;0.557
France;Feb 22;2021;0.558
France;Feb 23;2021;0.554
France;Feb 24;2021;0.553
France;Feb 25;2021;0.553
France;Feb 26;2021;0.553
France;Feb 27;2021;0.556
France;Feb 28;2021;0.557
France;mars-01;2021;0.558
France;mars-02;2021;0.562
France;mars-03;2021;0.562
France;mars-04;2021;0.566
France;mars-05;2021;0.567
France;mars-06;2021;0.572
France;mars-07;2021;0.573
France;mars-08;2021;0.574
France;mars-09;2021;0.576
France;mars-10;2021;0.578
France;mars-11;2021;0.584
France;mars-12;2021;0.585
France;mars-13;2021;0.592
France;mars-14;2021;0.591
France;mars-15;2021;0.592
France;mars-16;2021;0.591
France;mars-17;2021;0.592
France;mars-18;2021;0.594
France;mars-19;2021;0.593
France;mars-20;2021;0.594
France;mars-21;2021;0.592
France;mars-22;2021;0.594
France;mars-23;2021;0.593
France;mars-24;2021;0.594
France;mars-25;2021;0.591
France;mars-26;2021;0.593
France;mars-27;2021;0.596
France;mars-28;2021;0.595
France;mars-29;2021;0.596
France;mars-30;2021;0.596
France;mars-31;2021;0.598
France;Apr 1;2021;0.6
France;Apr 2;2021;0.601
France;Apr 3;2021;0.601
France;Apr 4;2021;0.601
France;Apr 5;2021;0.603
France;Apr 6;2021;0.604
France;Apr 7;2021;0.609
France;Apr 8;2021;0.612
France;Apr 9;2021;0.616
France;Apr 10;2021;0.623
France;Apr 11;2021;0.625
France;Apr 12;2021;0.626
France;Apr 13;2021;0.627
France;Apr 14;2021;0.629
France;Apr 15;2021;0.63
France;Apr 16;2021;0.635
France;Apr 17;2021;0.639
France;Apr 18;2021;0.641
France;Apr 19;2021;0.641
France;Apr 20;2021;0.641
France;Apr 21;2021;0.64
France;Apr 22;2021;0.64
France;Apr 23;2021;0.641
France;Apr 24;2021;0.642
France;Apr 25;2021;0.643
France;Apr 26;2021;0.646
France;Apr 27;2021;0.646
France;Apr 28;2021;0.65
France;Apr 29;2021;0.65
France;Apr 30;2021;0.652
France;May 1;2021;0.653
France;May 2;2021;0.661
France;May 3;2021;0.67
France;May 4;2021;0.673
France;May 5;2021;0.677
France;May 6;2021;0.679
France;May 7;2021;0.683
France;May 8;2021;0.683
France;May 9;2021;0.685
France;May 10;2021;0.688
France;May 11;2021;0.689
France;May 12;2021;0.7
France;May 13;2021;0.701
France;May 14;2021;0.702
France;May 15;2021;0.702
France;May 16;2021;0.705
France;May 17;2021;0.708
France;May 18;2021;0.711
France;May 19;2021;0.711
France;May 20;2021;0.713
France;May 21;2021;0.717
France;May 22;2021;0.718
France;May 23;2021;0.717
France;May 24;2021;0.716
France;May 25;2021;0.715
France;May 26;2021;0.715
France;May 27;2021;0.715
France;May 28;2021;0.714
France;May 29;2021;0.715
France;May 30;2021;0.716
France;May 31;2021;0.716
France;juin-01;2021;0.717
France;juin-02;2021;0.716
France;juin-03;2021;0.717
France;juin-04;2021;0.718
France;juin-05;2021;0.719
France;juin-06;2021;0.715
France;juin-07;2021;0.715
France;juin-08;2021;0.712
France;juin-09;2021;0.711
France;juin-10;2021;0.709
France;juin-11;2021;0.709
France;juin-12;2021;0.706
France;juin-13;2021;0.706
France;juin-14;2021;0.706
France;juin-15;2021;0.705
France;juin-16;2021;0.704
France;juin-17;2021;0.703
France;juin-18;2021;0.702
France;juin-19;2021;0.701
France;juin-20;2021;0.7
France;juin-21;2021;0.7
France;juin-22;2021;0.701
France;juin-23;2021;0.701
France;juin-24;2021;0.707
France;juin-25;2021;0.707
France;juin-26;2021;0.707
France;juin-27;2021;0.708
France;juin-28;2021;0.713
France;juin-29;2021;0.712
France;juin-30;2021;0.711
France;juil-01;2021;0.711
France;juil-02;2021;0.71
France;juil-03;2021;0.71
France;juil-04;2021;0.707
France;juil-05;2021;0.707
France;juil-06;2021;0.707
France;juil-07;2021;0.707
France;juil-08;2021;0.707
France;juil-09;2021;0.707
France;juil-10;2021;0.704
France;juil-11;2021;0.688
France;juil-12;2021;0.69
France;juil-13;2021;0.688
France;juil-14;2021;0.687
France;juil-15;2021;0.684
France;juil-16;2021;0.684
France;juil-17;2021;0.683
France;juil-18;2021;0.683
France;juil-19;2021;0.683
France;juil-20;2021;0.684
France;juil-21;2021;0.684
France;juil-22;2021;0.684
France;juil-23;2021;0.684
France;juil-24;2021;0.684
France;juil-25;2021;0.684
France;juil-26;2021;0.682
France;juil-27;2021;0.683
France;juil-28;2021;0.681
France;juil-29;2021;0.682
France;juil-30;2021;0.681
France;juil-31;2021;0.689
France;Aug 1;2021;0.689
France;Aug 2;2021;0.694
France;Aug 3;2021;0.7
France;Aug 4;2021;0.697
France;Aug 5;2021;0.694
France;Aug 6;2021;0.689
France;Aug 7;2021;0.683
France;Aug 8;2021;0.682
France;Aug 9;2021;0.682
France;Aug 10;2021;0.682
France;Aug 11;2021;0.682
France;Aug 12;2021;0.682
France;Aug 13;2021;0.681
France;Aug 14;2021;0.681
France;Aug 15;2021;0.681
France;Aug 16;2021;0.68
France;Aug 17;2021;0.68
France;Aug 18;2021;0.676
France;Aug 19;2021;0.676
France;Aug 20;2021;0.673
France;Aug 21;2021;0.673
France;Aug 22;2021;0.672
France;Aug 23;2021;0.672
France;Aug 24;2021;0.673
France;Aug 25;2021;0.67
France;Aug 26;2021;0.667
France;Aug 27;2021;0.665
France;Aug 28;2021;0.664
France;Aug 29;2021;0.661
France;Aug 30;2021;0.659
France;Aug 31;2021;0.657
France;sept-01;2021;0.655
France;sept-02;2021;0.655
France;sept-03;2021;0.651
France;sept-04;2021;0.652
France;sept-05;2021;0.65
France;sept-06;2021;0.65
France;sept-07;2021;0.65
